order_id,date,product_name,category,region,quantity,unit_price,discount_pct,revenue,customer_id
ORD10000,2024-10-16,Laptop Pro,Electronics,South,5,999.99,5,4749.95,CUST3286
ORD10001,2023-04-15,Nail Kit,Beauty,Central,9,12.99,0,116.91,CUST7912
ORD10002,2023-02-02,Laptop Pro,Electronics,Central,4,999.99,5,3799.96,CUST1434
ORD10003,2024-07-28,Sneakers,Clothing,South,9,69.99,20,503.93,CUST8359
ORD10004,2024-08-26,Coffee Maker,Home & Garden,East,3,49.99,20,119.98,CUST5552
ORD10005,2023-06-09,Casual T-Shirt,Clothing,West,2,19.99,0,39.98,CUST2584
ORD10006,2024-01-03,Action Figure,Toys,North,10,19.99,10,179.91,CUST8527
ORD10007,2024-07-03,Tablet 10,Electronics,Central,2,449.99,10,809.98,CUST6925
ORD10008,2024-08-14,Sneakers,Clothing,South,2,69.99,0,139.98,CUST5741
ORD10009,2023-03-23,Board Game,Toys,East,2,34.99,20,55.98,CUST8428
ORD10010,2024-10-12,Action Figure,Toys,East,3,19.99,15,50.97,CUST4432
ORD10011,2024-11-17,Storage Bin,Home & Garden,Central,2,14.99,0,29.98,CUST5010
ORD10012,2023-06-17,Water Bottle,Sports,East,5,24.99,5,118.7,CUST1916
ORD10013,2023-08-23,LEGO Set,Toys,East,6,49.99,20,239.95,CUST2084
ORD10014,2023-08-05,Self Help,Books,West,6,19.99,5,113.94,CUST7482
ORD10015,2024-10-20,Dumbbell Set,Sports,South,5,59.99,0,299.95,CUST9830
ORD10016,2023-09-27,Perfume Set,Beauty,East,7,59.99,20,335.94,CUST4593
ORD10017,2023-05-22,History Atlas,Books,North,2,29.99,0,59.98,CUST3504
ORD10018,2024-10-04,Sneakers,Clothing,West,7,69.99,0,489.93,CUST7252
ORD10019,2024-09-02,Cycling Helmet,Sports,North,5,69.99,0,349.95,CUST9797
ORD10020,2023-10-01,Remote Car,Toys,East,6,39.99,0,239.94,CUST8123
ORD10021,2023-06-11,Yoga Mat,Sports,Central,5,29.99,0,149.95,CUST2743
ORD10022,2024-10-02,Storage Bin,Home & Garden,South,9,14.99,5,128.16,CUST7126
ORD10023,2023-06-15,Cook Book,Books,West,1,24.99,15,21.24,CUST1319
ORD10024,2023-04-25,Garden Hose,Home & Garden,South,4,34.99,0,139.96,CUST2290
ORD10025,2023-03-29,Face Wash,Beauty,South,2,14.99,0,29.98,CUST8787
ORD10026,2024-07-16,Casual T-Shirt,Clothing,South,9,19.99,20,143.93,CUST9835
ORD10027,2024-12-07,Sneakers,Clothing,East,5,69.99,20,279.96,CUST8177
ORD10028,2024-06-13,Yoga Mat,Sports,North,4,29.99,5,113.96,CUST6539
ORD10029,2023-01-22,Cook Book,Books,North,4,24.99,5,94.96,CUST2163
ORD10030,2024-12-25,Moisturizer SPF,Beauty,North,4,29.99,0,119.96,CUST6413
ORD10031,2023-03-14,Data Science 101,Books,South,5,34.99,25,131.21,CUST9834
ORD10032,2023-05-16,Perfume Set,Beauty,South,10,59.99,25,449.92,CUST8749
ORD10033,2024-02-21,Running Shoes,Clothing,East,2,89.99,20,143.98,CUST7939
ORD10034,2024-02-25,Jump Rope,Sports,North,1,12.99,0,12.99,CUST7596
ORD10035,2023-12-14,LEGO Set,Toys,South,4,49.99,5,189.96,CUST9786
